index,identifier,smiles,csd_spacegroup,wyckoff_spg,wyckoff_aflow
107,ABAPEB,Cc1ccc(cc1)S(=O)(=O)NC1C(I)CC2COC1O2.Cc1ccc(cc1)S(=O)(=O)NC1C(I)CC2COC1O2,"(4, 1)",A13B16CDE4F_mP144_4_26a_32a_2a_2a_8a_2a:C-H-I-N-O-S,A13B16CDE4F_mP144_4_26a_32a_2a_2a_8a_2a:C-H-I-N-O-S
0,ABAPEC,Cc1cc(C)c([As+]c2c3c(cc4c2C2(CC4(C)C)c4ccccc4c4ccccc24)C(C)(C)CC23c3ccccc3c3ccccc23)c(C)c1.Fc1c(F)c(F)c(c(F)c1F)[B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,"(14, 1)",ABC73D20E44_mP556_14_e_e_73e_20e_44e:As-B-C-F-H,ABC73D20E44_mP556_14_e_e_73e_20e_44e:As-B-C-F-H
1,ABAPIE,CCc1ccc(cc1)C=C(COc1ccccc1C=NO)C(=O)OC,"(2, 1)",A20B21CD4_aP92_2_20i_21i_i_4i:C-H-N-O,A20B21CD4_aP92_2_20i_21i_i_4i:C-H-N-O
2,ABAPIF,Cc1ccc(cc1)S(=O)(=O)NC1C(CC2COC1O2)OCc1ccccc1,"(19, 1)",A20B23CD5E_oP200_19_20a_23a_a_5a_a:C-H-N-O-S,A20B23CD5E_oP200_19_20a_23a_a_5a_a:C-H-N-O-S
3,ABAPOK,COC(=O)C(COc1ccccc1C=NO)=Cc1ccc(Cl)cc1,"(2, 1)",A18BC16DE4_aP80_2_18i_i_16i_i_4i:C-Cl-H-N-O,A18BC16DE4_aP80_2_18i_i_16i_i_4i:C-Cl-H-N-O
4,ABAPOL,Cc1ccc(cc1)S(=O)(=O)NC1C(CC2COC1O2)SCc1ccccc1,"(19, 1)",A20B23CD4E2_oP200_19_20a_23a_a_4a_2a:C-H-N-O-S,A20B23CD4E2_oP200_19_20a_23a_a_4a_2a:C-H-N-O-S
5,ABAPUQ,[Br-].[Br-].CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1.CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1.CCCO,"(1, 1)",A2B29C2D46E2F3_aP84_1_2a_29a_2a_46a_2a_3a:Br-C-Cl-H-N-O,A2B29C2D46E2F3_aP84_1_2a_29a_2a_46a_2a_3a:Br-C-Cl-H-N-O
6,ABAPUR,Cc1ccc(cc1)S(=O)(=O)N1C2CC3COC(O3)C12,"(4, 1)",A13B15CD4E_mP68_4_13a_15a_a_4a_a:C-H-N-O-S,A13B15CD4E_mP68_4_13a_15a_a_4a_a:C-H-N-O-S
7,ABAQAX,Cc1ccccc1NP(=O)(NC(=O)C(Cl)(Cl)Cl)Nc1ccccc1C,"(15, 1)",A16B3C17D3E2F_mC336_15_16f_3f_17f_3f_2f_f:C-Cl-H-N-O-P,A16B3C17D3E2F_mC336_15_16f_3f_17f_3f_2f_f:C-Cl-H-N-O-P
8,ABAQAY,Cc1ccc(cc1)S(=O)(=O)N1C2CC3COC(O3)C12,"(19, 1)",A13B15CD4E_oP136_19_13a_15a_a_4a_a:C-H-N-O-S,A13B15CD4E_oP136_19_13a_15a_a_4a_a:C-H-N-O-S
9,ABAQEB,OC(=O)C1CCCCC1C(=O)[O-].Nc1cc[nH+]cc1,"(33, 1)",A13B18C2D4_oP148_33_13a_18a_2a_4a:C-H-N-O,A13B18C2D4_oP148_33_13a_18a_2a_4a:C-H-N-O
10,ABAQIG,COC1(OC2C3COC(O3)C(N=[N+]=[N-])C2O1)c1ccccc1,"(19, 1)",A14B15C3D5_oP148_19_14a_15a_3a_5a:C-H-N-O,A14B15C3D5_oP148_19_14a_15a_3a_5a:C-H-N-O
11,ABAQOL,Clc1ccc2N3C(=NN=C3c3ccccc3)Sc2c1,"(14, 1)",A14BC8D3E_mP108_14_14e_e_8e_3e_e:C-Cl-H-N-S,A14BC8D3E_mP108_14_14e_e_8e_3e_e:C-Cl-H-N-S
12,ABAQOM,FC1C(F)C(N=[N+]=[N-])C2OCC1O2.FC1C(F)C(N=[N+]=[N-])C2OCC1O2,"(4, 1)",A6B2C7D3E2_mP80_4_12a_4a_14a_6a_4a:C-F-H-N-O,A6B2C7D3E2_mP80_4_12a_4a_14a_6a_4a:C-F-H-N-O
13,ABAQUS,FC1OC2COC1C(N=[N+]=[N-])C2F,"(19, 1)",A6B2C7D3E2_oP80_19_6a_2a_7a_3a_2a:C-F-H-N-O,A6B2C7D3E2_oP80_19_6a_2a_7a_3a_2a:C-F-H-N-O
14,ABARAZ,O=C(NN=CC1=CNc2ccccc12)c1cccnc1.O.O,"(60, 1)",A15B12C4D3_oP272_60_15d_12d_4d_3d:C-H-N-O,A15B12C4D3_oP272_60_15d_12d_4d_3d:C-H-N-O
15,ABASIG,CC12CC(=O)C3(C)C4(CO4)C4OC4C3(O1)C1C2COC1=O,"(19, 1)",A15B16C6_oP148_19_15a_16a_6a:C-H-O,A15B16C6_oP148_19_15a_16a_6a:C-H-O
16,ABASOP,CN(C)c1ccc(cc1)C(N=Nc1ccc(C)cc1)=C(Cl)Cl,"(2, 1)",A17B2C17D3_aP78_2_17i_2i_17i_3i:C-Cl-H-N,A17B2C17D3_aP78_2_17i_2i_17i_3i:C-Cl-H-N
17,ABATAB,CCOC(=O)C(=CC(=O)N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1)C(OCC)=C(C#N)C#N,"(2, 1)",A26B25C3D6E_aP122_2_26i_25i_3i_6i_i:C-H-N-O-S,A26B25C3D6E_aP122_2_26i_25i_3i_6i_i:C-H-N-O-S
18,ABATEF,ClCCCl.CN(C)c1ccc(cc1)C(C=CC(c1ccc(cc1)N(C)C)=C1C(=O)c2ccccc2C1=O)=C(C#N)C#N,"(2, 1)",A33BC28D4E2_aP136_2_33i_i_28i_4i_2i:C-Cl-H-N-O,A33BC28D4E2_aP136_2_33i_i_28i_4i_2i:C-Cl-H-N-O
19,ABATIJ,CN(C)c1ccc(cc1)C1=C(C#N)C(C#N)(C#N)C2=C(O1)c1ccccc1C2=O,"(14, 1)",A23B14C4D2_mP172_14_23e_14e_4e_2e:C-H-N-O,A23B14C4D2_mP172_14_23e_14e_4e_2e:C-H-N-O
20,ABATOO,CC(C)(C)c1ccc(O)c(C=NO)c1,"(19, 1)",A11B15CD2_oP116_19_11a_15a_a_2a:C-H-N-O,A11B15CD2_oP116_19_11a_15a_a_2a:C-H-N-O
21,ABATOP,CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(c1ccc(cc1)N(=O)=O)=C1C(=O)c2ccccc2C1=O,"(14, 1)",A14B9C2D2_mP216_14_28e_18e_4e_4e:C-H-N-O,A14B9C2D2_mP216_14_28e_18e_4e_4e:C-H-N-O
22,ABATRG,COC(=O)C1CC(CC2(C)C1CCC13CC(CCC21)C(Br)(CBr)C3O)OC(C)=O,"(19, 1)",A2B22C5_oP116_19_2a_22a_5a:Br-C-O,A2B22C5_oP116_19_2a_22a_5a:Br-C-H-O
23,ABATUV,CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(C#N)=C1C(=O)c2ccccc2C1=O,"(14, 1)",A23B14C4D2_mP172_14_23e_14e_4e_2e:C-H-N-O,A23B14C4D2_mP172_14_23e_14e_4e_2e:C-H-N-O
24,ABAVAD,CN(C)c1ccc(cc1)C1=C(c2ccc(cc2)N(C)C)C(C#N)(C#N)C2=C(O1)c1ccccc1C2=O.CN(C)c1ccc(cc1)C1=C(c2ccc(cc2)N(C)C)C(C#N)(C#N)C2=C(O1)c1ccccc1C2=O,"(2, 1)",A15B12C2D_aP240_2_60i_48i_8i_4i:C-H-N-O,A15B12C2D_aP240_2_60i_48i_8i_4i:C-H-N-O
25,ABAVAE,CCN(CC)c1ccc2c(Oc3cc(ccc3C32N(N=Cc2ccccc2O)C(=O)c2ccccc32)N(CC)CC)c1,"(14, 1)",A35B36C4D3_mP312_14_35e_36e_4e_3e:C-H-N-O,A35B36C4D3_mP312_14_35e_36e_4e_3e:C-H-N-O
26,ABAVEG,CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O,"(2, 1)",A11B14C2D4_aP62_2_11i_14i_2i_4i:C-H-N-O,A11B14C2D4_aP62_2_11i_14i_2i_4i:C-H-N-O
27,ABAVEH,CCOC(=O)c1ccc(cc1)C1=C(OC2=C(C(=O)c3ccccc23)C1(C#N)C#N)c1ccc(cc1)N(C)C,"(14, 1)",A31B23C3D4_mP244_14_31e_23e_3e_4e:C-H-N-O,A31B23C3D4_mP244_14_31e_23e_3e_4e:C-H-N-O
28,ABAVIL,O=C1c2ccccc2C2=C1C(C#N)(C#N)C(=C(O2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,"(2, 1)",A25B16C2D_aP176_2_50i_32i_4i_2i:C-H-N-O,A25B16C2D_aP176_2_50i_32i_4i_2i:C-H-N-O
29,ABAVUW,COc1cc(cc(C=NO)c1O)C(C)(C)C,"(19, 1)",A12B17CD3_oP132_19_12a_17a_a_3a:C-H-N-O,A12B17CD3_oP132_19_12a_17a_a_3a:C-H-N-O
